127.0.0.1 - - [23/Aug/2019:17:42:04 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:42:10 +0530] "GET /student_management/Login HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:42:11 +0530] "GET /student_management/bg.jpg HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:42:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:42:35 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:42:44 +0530] "GET /student_management/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:42:44 +0530] "GET /student_management/Login HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:42:44 +0530] "GET /student_management/bg.jpg HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:44:46 +0530] "GET /student_management/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:45:12 +0530] "POST /student_management/register HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:45:12 +0530] "GET /student_management/bg.jpg HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:45:21 +0530] "POST /student_management/Check_User HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:47:02 +0530] "GET /student_management/Check_User HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:47:02 +0530] "GET /student_management/bg.jpg HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:47:09 +0530] "POST /student_management/Check_User HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:49:14 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:49:51 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:53:36 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:53:38 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:53:39 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:53:39 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:53:40 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:53:41 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:53:41 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:53:46 +0530] "POST /student_management/employe HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:56:07 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:56:08 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:56:09 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:56:09 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:56:12 +0530] "POST /student_management/Check_User HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [23/Aug/2019:17:56:15 +0530] "POST /student_management/employe HTTP/1.1" 302 -
